"","①　R7~R8クレーム率推移・口コミ指摘率 R7データ（去年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","R8データ（今年） ","清掃数","クレーム数","クレーム率","口コミ数","口コミ率","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","13日","口コミ","","","トイレの近くの壁に数本の髪の毛が付着","","","","","","","","12月","26日","口コミ","","","","ガウン臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","13日","口コミ","","","グラスに口紅がついていた","","","","","","","","12月","28日","口コミ","","","","ガウン臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","16日","セット漏れ","ジェ","サンティ","ツインセットになってなかった","","","","","","","","12月","31日","口コミ","","","","ホテル臭い","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","16日","セット漏れ","ラディカ","カマラ","ガウン1枚なかった","","","","","","","","1月","4日","セット漏れ","","エマ","","シャワーカーテンなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","18日","口コミ","","","※口コミリストにあがっていませんがじゃらんに掲載がありフロントさんから指摘があったため記入します。
絨毯にゴミ、テーブルホコリ、リモコン汚れ","","","","","","","","1月","4日","口コミ","","","","喫煙部屋にタバコ臭がある","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","20日","口コミ","","","ベッドのわきに綿棒が落ちていた","","","","","","","","1月","6日","セット漏れ","","谷口","プスカル","ハンガーがなかった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","20日","口コミ","","","ガウンがコーヒーの臭い、エアコンカビ臭い","","","","","","","","1月","10日","残置","","ラジタ","カビタ","使用済みの歯ブラシがあった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","4月","24日","誤入室","","プスカル","アウト前に入室した","","","","","","","","1月","17日","口コミ","","","","ガウン少し臭った","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","15日","その他","","","ビマラ","ボディソープ・コンディショナーのボトルがなかった。","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","17日","その他","","","サンティ","備品のタオルに巻いたままにしていた化粧品がない","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","22日","その他","","","スニタ","連泊清掃がさていなかった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","28日","残置","","ディパク","サンデア","前泊者のガウンがクローゼット内にあった","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","1月","29日","髪の毛","","","ススマ","枕に髪の毛ついていた","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","④　月ごとの口コミ総数","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2月","3月","4月","5月","6月","7月","8月","","","11月","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","175","213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
